starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	4	0
Thu Aug 06 21:41:22 2015	1438886482	4	0	4	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:24 2015	1438886484	3	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	3	0	4	0
Thu Aug 06 21:41:22 2015	1438886482	3	0	4	0
Thu Aug 06 21:41:18 2015	1438886478	3	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:10 2015	1438886470	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:09 2015	1438886469	3	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	4	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:13 2015	1438886473	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:16 2015	1438886476	4	0	4	0
Thu Aug 06 21:41:24 2015	1438886484	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:16 2015	1438886476	4	0	4	0
Thu Aug 06 21:41:12 2015	1438886472	4	0	4	0
Thu Aug 06 21:41:15 2015	1438886475	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:11 2015	1438886471	4	0	4	0
Thu Aug 06 21:41:13 2015	1438886473	4	0	4	0
Thu Aug 06 21:41:19 2015	1438886479	4	0	4	0
Thu Aug 06 21:41:22 2015	1438886482	3	1	4	0
Thu Aug 06 21:41:12 2015	1438886472	4	0	4	0
Thu Aug 06 21:41:21 2015	1438886481	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:11 2015	1438886471	3	1	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	3	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:08 2015	1438886468	4	0	4	0
Thu Aug 06 21:41:11 2015	1438886471	4	0	4	0
Thu Aug 06 21:41:21 2015	1438886481	3	1	4	0
Thu Aug 06 21:41:16 2015	1438886476	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	1	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:10 2015	1438886470	4	0	4	0
Thu Aug 06 21:41:20 2015	1438886480	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	4	0	4	0
Thu Aug 06 21:41:25 2015	1438886485	3	0	4	0
